           Time    Speed        Read     Read   Mapped   Mapped   Mapped   Mapped Unmapped Unmapped Unmapped Unmapped
                    M/hr      number   length   unique   length   MMrate    multi   multi+       MM    short    other
Jul 29 15:02:16    160.4   140292225      261    79.1%    262.8     0.3%    16.5%     0.1%     0.0%     4.1%     0.1%
Jul 29 15:03:17    160.6   143190378      261    79.1%    262.8     0.3%    16.5%     0.1%     0.0%     4.1%     0.1%
Jul 29 15:04:17    160.7   145990789      261    79.1%    262.8     0.3%    16.5%     0.1%     0.0%     4.1%     0.1%
Jul 29 15:05:17    160.9   148852765      261    79.1%    262.8     0.3%    16.5%     0.1%     0.0%     4.1%     0.1%
Jul 29 15:06:21    160.1   150924417      261    79.1%    262.8     0.3%    16.5%     0.1%     0.0%     4.1%     0.1%
Jul 29 15:07:22    159.6   153138726      261    79.1%    262.8     0.3%    16.5%     0.1%     0.0%     4.1%     0.1%
Jul 29 15:08:22    159.7   155897988      261    79.1%    262.8     0.3%    16.5%     0.1%     0.0%     4.1%     0.1%
Jul 29 15:09:23    159.6   158569119      261    79.1%    262.8     0.3%    16.6%     0.1%     0.0%     4.1%     0.1%
Jul 29 15:21:10    133.8   159215544      261    79.1%    262.8     0.3%    16.6%     0.1%     0.0%     4.1%     0.1%
ALL DONE!
