Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR14240733_2 - polya	(1, 0.024681423027310176)	(2, 0.030207653841717672)	(3, 0.03850753481706009)	(4, 0.049313182215601985)	(5, 0.059191771285801005)	(6, 0.06849395883042321)	(7, 0.07902720759677345)	(8, 0.09716353862739022)	(9, 0.11671754651725857)	(12, 0.1627303408853672)	(17, 0.24626702506500844)	(22, 0.32857806589626914)	(27, 0.41179208561877284)	(32, 0.48304494595490743)	(37, 0.5531651697684594)	(42, 0.6051171572972374)	(47, 0.6548378839857536)	(52, 0.70294107448709)	(57, 0.7502424197330024)	(62, 0.7930914770591592)	(67, 0.8554981541907491)	(72, 0.9253565141258406)	(77, 0.9641918302804218)	(82, 0.9977101057304004)	(87, 1.0377755801278183)	(92, 1.0749361714321075)	(97, 1.1113864193419523)	(102, 1.1451503050503489)	(107, 1.1785120641591784)	(112, 1.2095128344603714)	(117, 1.2376713282048948)	(122, 1.2639826281308988)	(127, 1.2904396086513565)	(132, 1.3156378365974213)	(137, 1.3420451532788609)	(140, 1.3514508824030123)
SRR14240733_2 - polyg	(1, 1.6786558183986644)	(2, 1.708408972865123)	(3, 1.7087310353363332)	(4, 1.7089989190740686)	(5, 1.7092999120378163)	(6, 1.709686687996232)	(7, 1.7101833263864157)	(8, 1.7120660373746575)	(9, 1.7163115431283187)	(12, 1.733090696885397)	(17, 1.7484250844164866)	(22, 1.7498316245360797)	(27, 1.7504826723166655)	(32, 1.7510346934121792)	(37, 1.751637281325602)	(42, 1.75207161417229)	(47, 1.752481566588914)	(52, 1.7543985907750232)	(57, 1.759305378070038)	(62, 1.7614291844222414)	(67, 1.7622680518122062)	(72, 1.7631051132443887)	(77, 1.7663687799503052)	(82, 1.7820261329314957)	(87, 1.796498476614412)	(92, 1.8085074938820167)	(97, 1.8178120893703489)	(102, 1.8238265307719554)	(107, 1.82877184516633)	(112, 1.8335362627894924)	(117, 1.8387903959646714)	(122, 1.8443024801097827)	(127, 1.850491497430363)	(132, 1.857603660170757)	(137, 1.86601761747936)	(140, 1.8717081904519735)
SRR14240734_1 - polya	(1, 0.059324659339221576)	(2, 0.0673556138333259)	(3, 0.07193082884429179)	(4, 0.07984108516827995)	(5, 0.08391917459107988)	(6, 0.08766911586387648)	(7, 0.09269996646703088)	(8, 0.10174704868080069)	(9, 0.11565600405956225)	(12, 0.13697401661090464)	(17, 0.15984119017568796)	(22, 0.1817812509212665)	(27, 0.21404221219347833)	(32, 0.24797786057605195)	(37, 0.27411384233300634)	(42, 0.29474478055096237)	(47, 0.31731971367135203)	(52, 0.3351297847809806)	(57, 0.3539742392085048)	(62, 0.3709946425401485)	(67, 0.38818930385489736)	(72, 0.4066598957004867)	(77, 0.42946626756207407)	(82, 0.4504211294940794)	(87, 0.4703049460390165)	(92, 0.4882592514619339)	(97, 0.5057005896618577)	(102, 0.5227860191326515)	(107, 0.540503454396716)	(112, 0.5584594194194725)	(117, 0.5727603421056864)	(122, 0.5853576101207106)	(127, 0.5962744578622923)	(132, 0.6083616252358631)	(137, 0.6207651726878508)	(140, 0.6249464590461)
SRR14240734_2 - polya	(1, 0.020962254694924964)	(2, 0.025706447144053478)	(3, 0.033217645143095074)	(4, 0.04267283804457015)	(5, 0.05182175933937546)	(6, 0.060542956493831616)	(7, 0.07079928349945273)	(8, 0.08681442194674138)	(9, 0.10485351783416548)	(12, 0.14748863770057433)	(17, 0.22264829346818615)	(22, 0.29755599180568054)	(27, 0.36759879952393015)	(32, 0.427730024384953)	(37, 0.4883755743233834)	(42, 0.5365760868138486)	(47, 0.58398813850803)	(52, 0.629085350172096)	(57, 0.6734632007422695)	(62, 0.7149058226879308)	(67, 0.7815140131028123)	(72, 0.8571543493329117)	(77, 0.8952267766235043)	(82, 0.9266300265243281)	(87, 0.9643945226084117)	(92, 1.0000897994385665)	(97, 1.0356799179880074)	(102, 1.0679096486087016)	(107, 1.099689929418426)	(112, 1.1290014800311365)	(117, 1.15505070997832)	(122, 1.178940197043987)	(127, 1.2032851688291302)	(132, 1.2266963893957121)	(137, 1.2513912350014795)	(140, 1.2601567887334535)
SRR14240734_2 - polyg	(1, 1.8720987743131)	(2, 1.8985037621167007)	(3, 1.8988568042642906)	(4, 1.899255862589237)	(5, 1.8996722712761378)	(6, 1.9001316786861424)	(7, 1.9007781682598273)	(8, 1.9034101427319228)	(9, 1.9088815416560012)	(12, 1.9297645881767873)	(17, 1.9496633411202762)	(22, 1.9515927013695833)	(27, 1.9524062070361663)	(32, 1.953095544460242)	(37, 1.9538808369295606)	(42, 1.954529589593935)	(47, 1.9551271964087225)	(52, 1.9572631014016408)	(57, 1.9625131700562684)	(62, 1.9652085110676751)	(67, 1.966264921801617)	(72, 1.9672385034163162)	(77, 1.9701548729517484)	(82, 1.9831993276870528)	(87, 1.9980716053360539)	(92, 2.0114473765483276)	(97, 2.023325585214885)	(102, 2.0326599290735308)	(107, 2.0410697249490877)	(112, 2.049265734190825)	(117, 2.0582797752805257)	(122, 2.06825849649488)	(127, 2.0797457939629735)	(132, 2.093241810727225)	(137, 2.109208669906467)	(140, 2.1198913631980236)
SRR14240735_1 - polya	(1, 0.04885038589072232)	(2, 0.05881421797814238)	(3, 0.06394971161940141)	(4, 0.07328581734258674)	(5, 0.07768625682730093)	(6, 0.08151333994783219)	(7, 0.08657186826434253)	(8, 0.0968703935988349)	(9, 0.11298650893887285)	(12, 0.13711210200083152)	(17, 0.1629915159216049)	(22, 0.18853143508880787)	(27, 0.22664466390435994)	(32, 0.2669141927998896)	(37, 0.2977875971410079)	(42, 0.3218689880990283)	(47, 0.3478976723835804)	(52, 0.3684892154421703)	(57, 0.3897581945793279)	(62, 0.40884912563648734)	(67, 0.4284709056032437)	(72, 0.44990468938990913)	(77, 0.4758799922198649)	(82, 0.4994079389435915)	(87, 0.5214717086269613)	(92, 0.541035588074182)	(97, 0.5609574621970685)	(102, 0.5802292970725823)	(107, 0.6010289995599419)	(112, 0.6216139052419021)	(117, 0.6377057306078908)	(122, 0.6525906831935085)	(127, 0.6658247648684615)	(132, 0.6804087759732729)	(137, 0.6958574819100771)	(140, 0.7011548145644775)
SRR14240735_2 - polya	(1, 0.020371097422016086)	(2, 0.02507798599793148)	(3, 0.03130370405581418)	(4, 0.04017448731102347)	(5, 0.0482494914745651)	(6, 0.055882474598724335)	(7, 0.06458308681481037)	(8, 0.07936890241332048)	(9, 0.09668468827398255)	(12, 0.13633411672736265)	(17, 0.2098549254467968)	(22, 0.28352500453000956)	(27, 0.3553481982608124)	(32, 0.41715728530674473)	(37, 0.47691386954552567)	(42, 0.5252442805266615)	(47, 0.5717751151164714)	(52, 0.6181780036801853)	(57, 0.6641686687889609)	(62, 0.7048433601004611)	(67, 0.7615069268298001)	(72, 0.8276915985032801)	(77, 0.8659056589552918)	(82, 0.898414541142125)	(87, 0.9378097721926654)	(92, 0.9745725066952419)	(97, 1.0111712838729865)	(102, 1.0443016787097628)	(107, 1.0766354471301953)	(112, 1.1068352283537883)	(117, 1.134077564016121)	(122, 1.1594394037805564)	(127, 1.1850512043244514)	(132, 1.2093959720359697)	(137, 1.2354714003984886)	(140, 1.2447044149527442)
SRR14240735_2 - polyg	(1, 1.5068942078000784)	(2, 1.5373308162706505)	(3, 1.5375998418553225)	(4, 1.5378363866607427)	(5, 1.5381209465311438)	(6, 1.5384295139340354)	(7, 1.5389047218565663)	(8, 1.540887461598716)	(9, 1.544221684199297)	(12, 1.5568689935360285)	(17, 1.5682441860923262)	(22, 1.569614592535191)	(27, 1.5703351009514621)	(32, 1.5709773730559706)	(37, 1.571628824511137)	(42, 1.572148234537606)	(47, 1.5726423660445707)	(52, 1.5743709083838808)	(57, 1.578620806517802)	(62, 1.5807201946236995)	(67, 1.5817365605727203)	(72, 1.5826992626255858)	(77, 1.5853125531475576)	(82, 1.5950580579100944)	(87, 1.6050660921014526)	(92, 1.6134797436938886)	(97, 1.6203762604537093)	(102, 1.6256286849002748)	(107, 1.630435699008753)	(112, 1.6353534302082458)	(117, 1.6411359974605113)	(122, 1.6481879982984027)	(127, 1.6568975074235879)	(132, 1.667200693043799)	(137, 1.6795397174191975)	(140, 1.688069170050705)
SRR14240736_1 - polya	(1, 0.1360043986996859)	(2, 0.14398646997903555)	(3, 0.14835715354121964)	(4, 0.15533909968398674)	(5, 0.1591524054097999)	(6, 0.16248931083396018)	(7, 0.16676955195477086)	(8, 0.17511128968702402)	(9, 0.1877574566348738)	(12, 0.20696427621369784)	(17, 0.22722758970651863)	(22, 0.24552598857768754)	(27, 0.2728307719595746)	(32, 0.302142325883656)	(37, 0.32501732261957783)	(42, 0.3435161671805813)	(47, 0.36376833311667456)	(52, 0.38031277961897675)	(57, 0.39650407993740455)	(62, 0.4109504721311029)	(67, 0.42569721736266447)	(72, 0.4415761757614657)	(77, 0.46159634631887325)	(82, 0.47997446073720623)	(87, 0.497547006433539)	(92, 0.5129586087748246)	(97, 0.5279121096339909)	(102, 0.5427328914687233)	(107, 0.5578092257831503)	(112, 0.5727118264776367)	(117, 0.5846447601261907)	(122, 0.5953878498425371)	(127, 0.6051794009431317)	(132, 0.6160650952530854)	(137, 0.6270012690652009)	(140, 0.6307634642950751)
SRR14240736_2 - polya	(1, 0.02629561400116719)	(2, 0.030761998286199868)	(3, 0.037484185324092235)	(4, 0.04613826497597213)	(5, 0.05452732724150207)	(6, 0.06266399199622254)	(7, 0.07260214398434563)	(8, 0.08801627030073932)	(9, 0.1046797642956399)	(12, 0.14478783207585563)	(17, 0.21813560037338425)	(22, 0.2926673233278684)	(27, 0.36725667704732057)	(32, 0.426774534071303)	(37, 0.48422273150664774)	(42, 0.5302768639790167)	(47, 0.5744659891777626)	(52, 0.6179812130226473)	(57, 0.660591802122539)	(62, 0.7017696146860689)	(67, 0.7778821873832562)	(72, 0.8684668126877411)	(77, 0.904027518648206)	(82, 0.9338196794991205)	(87, 0.969554960404562)	(92, 1.0036938270541336)	(97, 1.0374517837936421)	(102, 1.0685824927768828)	(107, 1.0991068167404037)	(112, 1.1274699870176186)	(117, 1.1528527633546912)	(122, 1.1760855335621856)	(127, 1.1995770112182595)	(132, 1.2219957994533934)	(137, 1.2460084779692888)	(140, 1.2543977505660777)
