Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR14240757_1	(1.0, 17.09007029938691)	(2.0, 9.85487654462048)	(3.0, 6.387478848830525)	(4.0, 3.8434931564636168)	(5.0, 2.694326981729096)	(6.0, 1.9287375010243584)	(7.0, 1.56331140914231)	(8.0, 1.2605953450942158)	(9.0, 1.0437215332817231)	('>10', 11.81352674032191)	('>50', 3.2321477763837225)	('>100', 5.419406175052097)	('>500', 1.9315350316909716)	('>1k', 4.057763998910536)	('>5k', 2.071034092348902)	('>10k+', 25.80797456571875)
SRR14240757_2	(1.0, 26.49693910235363)	(2.0, 10.855906553744903)	(3.0, 6.734802863442933)	(4.0, 3.8970848775866123)	(5.0, 2.533168902356989)	(6.0, 1.8581878436253383)	(7.0, 1.4520998910125196)	(8.0, 1.1979527626194804)	(9.0, 0.9634940569781527)	('>10', 10.14103189287533)	('>50', 2.6008822542686985)	('>100', 4.217539014567326)	('>500', 1.3433953584638898)	('>1k', 3.6354855446661776)	('>5k', 2.215045964425945)	('>10k+', 19.856983117011772)
SRR14240758_1	(1.0, 29.598753794844633)	(2.0, 12.781277282091146)	(3.0, 6.479402716128028)	(4.0, 3.8978390017747153)	(5.0, 2.6535568692349623)	(6.0, 1.9826221917792226)	(7.0, 1.493878084290636)	(8.0, 1.3068268681366157)	(9.0, 1.1153259231109265)	('>10', 11.208919073553563)	('>50', 2.759534690293574)	('>100', 4.469426670824926)	('>500', 1.4181378380251695)	('>1k', 2.782945801071829)	('>5k', 1.1361794774426073)	('>10k+', 14.915373717397618)
SRR14240758_2	(1.0, 38.58473351655394)	(2.0, 13.386520765704374)	(3.0, 6.375504148185454)	(4.0, 3.4769985235142)	(5.0, 2.261200596618097)	(6.0, 1.6428445052859686)	(7.0, 1.2704080706611895)	(8.0, 1.0200970461636694)	(9.0, 0.8232907073049505)	('>10', 8.178064177346798)	('>50', 2.0568674034904215)	('>100', 3.200051185044947)	('>500', 1.0652729892233765)	('>1k', 2.2781650447982016)	('>5k', 1.3181998347619839)	('>10k+', 13.061781485342319)
SRR14240759_1	(1.0, 37.351628568407776)	(2.0, 14.401357029414555)	(3.0, 6.914900020034927)	(4.0, 4.088412830074625)	(5.0, 2.704593908040191)	(6.0, 1.9572209523450999)	(7.0, 1.514149764914201)	(8.0, 1.168976529551186)	(9.0, 1.004034073885795)	('>10', 9.19960558832971)	('>50', 1.9600064512737059)	('>100', 3.163443590379014)	('>500', 1.1292812287682958)	('>1k', 3.14468674975962)	('>5k', 1.415146294559661)	('>10k+', 8.882556420261501)
SRR14240759_2	(1.0, 47.336339747906386)	(2.0, 14.701734244832618)	(3.0, 6.330319589477805)	(4.0, 3.505683343220646)	(5.0, 2.0720749997151935)	(6.0, 1.4602713116081596)	(7.0, 1.1230021469358742)	(8.0, 0.8150969539822922)	(9.0, 0.6826293206831209)	('>10', 6.149350178978814)	('>50', 1.3479024797791597)	('>100', 2.3058652915240714)	('>500', 0.977775315621272)	('>1k', 3.091660179963536)	('>5k', 1.8181351181391612)	('>10k+', 6.282159777631886)
SRR14240760_1	(1.0, 27.64439931980473)	(2.0, 10.981432664161876)	(3.0, 5.84846819980357)	(4.0, 3.705390887589511)	(5.0, 2.5708120666850873)	(6.0, 2.063760367721534)	(7.0, 1.6315920504387311)	(8.0, 1.3043620300232364)	(9.0, 1.1744270260725471)	('>10', 12.025997398231453)	('>50', 3.042866821690138)	('>100', 4.846207381839536)	('>500', 1.5249403326173632)	('>1k', 3.206333281998853)	('>5k', 1.706159135028675)	('>10k+', 16.722851036293125)
SRR14240760_2	(1.0, 35.77381347226709)	(2.0, 11.385560181682285)	(3.0, 5.739026553429325)	(4.0, 3.458592657012375)	(5.0, 2.4178754140753362)	(6.0, 1.6800308951343113)	(7.0, 1.401009408943852)	(8.0, 1.0779166952514094)	(9.0, 0.9205525388055878)	('>10', 9.192511187010025)	('>50', 2.296281608285975)	('>100', 3.699300209851203)	('>500', 1.2688601474563574)	('>1k', 3.063461222126682)	('>5k', 1.3098042982533955)	('>10k+', 15.315403510414944)
SRR14240761_1	(1.0, 12.966047617108337)	(2.0, 9.155420030678592)	(3.0, 7.173773665571494)	(4.0, 4.805234387216309)	(5.0, 3.1264611299445133)	(6.0, 2.304403050978603)	(7.0, 1.7080825779283513)	(8.0, 1.3936946215956225)	(9.0, 1.1381058587941622)	('>10', 12.172931250467002)	('>50', 3.3619986025601247)	('>100', 5.994278592997395)	('>500', 1.9695527778848962)	('>1k', 3.8516328642796784)	('>5k', 1.7754141074374366)	('>10k+', 27.102968864557507)
SRR14240761_2	(1.0, 22.53779795896966)	(2.0, 10.824615714227095)	(3.0, 8.101858283932275)	(4.0, 5.23110297806597)	(5.0, 3.3078045477537668)	(6.0, 2.2185253927745725)	(7.0, 1.627405423359904)	(8.0, 1.220580606773257)	(9.0, 1.038397745635097)	('>10', 10.602502486984536)	('>50', 2.8543482991500055)	('>100', 4.379197079732121)	('>500', 1.367441563253445)	('>1k', 3.356093183277116)	('>5k', 1.9302038375566606)	('>10k+', 19.402124898554586)
SRR14240762_1	(1.0, 24.60879030116827)	(2.0, 10.706773391303113)	(3.0, 6.145505007509892)	(4.0, 4.071057918900034)	(5.0, 2.8116499569356335)	(6.0, 2.2821638663007304)	(7.0, 1.8690192617486918)	(8.0, 1.5831243968159798)	(9.0, 1.2563934674789974)	('>10', 14.844715124456128)	('>50', 3.954751072083302)	('>100', 6.18254539515843)	('>500', 1.748182630301167)	('>1k', 2.6429058879457057)	('>5k', 1.075929380144675)	('>10k+', 14.216492941748902)
SRR14240762_2	(1.0, 32.736254904246245)	(2.0, 11.128489516722741)	(3.0, 6.262227668780283)	(4.0, 3.8831528415918264)	(5.0, 2.692174072591158)	(6.0, 2.0793380890334405)	(7.0, 1.6231675610745158)	(8.0, 1.3782241009809741)	(9.0, 1.1798444601474267)	('>10', 12.177698024979815)	('>50', 3.2022006885815086)	('>100', 4.691518186976413)	('>500', 1.105880442774613)	('>1k', 1.9929358253482625)	('>5k', 0.9670411713119424)	('>10k+', 12.899852444858551)
SRR14240763_1	(1.0, 31.037279841596)	(2.0, 15.008967574948437)	(3.0, 7.986597542137279)	(4.0, 4.6531687173177225)	(5.0, 2.958133456389285)	(6.0, 2.1108559061217456)	(7.0, 1.7226213197821538)	(8.0, 1.3362931081429112)	(9.0, 1.1653182367835813)	('>10', 10.969186691757638)	('>50', 2.398070002818054)	('>100', 3.594224446668774)	('>500', 1.225136920104886)	('>1k', 2.3574902237858484)	('>5k', 1.2751767703716377)	('>10k+', 10.201479241274173)
SRR14240763_2	(1.0, 40.70925437776511)	(2.0, 15.428039508871944)	(3.0, 7.666770427984831)	(4.0, 4.17824274601159)	(5.0, 2.577593975299928)	(6.0, 1.817900875370301)	(7.0, 1.311396610514642)	(8.0, 1.0346710282461276)	(9.0, 0.8359080093923131)	('>10', 7.779999115798287)	('>50', 1.7583278715551889)	('>100', 2.7551822244484203)	('>500', 0.9296994858042642)	('>1k', 2.2967160139849967)	('>5k', 1.337428689566032)	('>10k+', 7.582869039386102)
SRR14240764_1	(1.0, 27.21226860585295)	(2.0, 12.576343010794899)	(3.0, 7.021450471808738)	(4.0, 4.382279506412976)	(5.0, 3.0684165670790726)	(6.0, 2.3100132765287023)	(7.0, 1.7950898507354582)	(8.0, 1.4934758076442738)	(9.0, 1.2593270514607788)	('>10', 12.12986253663258)	('>50', 2.588758903094452)	('>100', 3.6060360669179525)	('>500', 1.105807588799764)	('>1k', 2.64353573741622)	('>5k', 1.289302053369216)	('>10k+', 15.518032965451908)
SRR14240764_2	(1.0, 36.019425196649316)	(2.0, 14.355049813466215)	(3.0, 7.28809963667015)	(4.0, 4.184795126805372)	(5.0, 2.7825748784846462)	(6.0, 1.9492203138164501)	(7.0, 1.4028252188235808)	(8.0, 1.1012384425962733)	(9.0, 0.9258747677734784)	('>10', 7.883872993719382)	('>50', 1.6576342505523836)	('>100', 2.6381428991512292)	('>500', 1.044808226068789)	('>1k', 2.581954423878618)	('>5k', 1.2358246077296622)	('>10k+', 12.948659203814527)
SRR14240765_1	(1.0, 22.110207821994734)	(2.0, 10.910459557940081)	(3.0, 6.479901933466582)	(4.0, 4.156769477065008)	(5.0, 3.0248970244747984)	(6.0, 2.2576521144410546)	(7.0, 1.7571279350078597)	(8.0, 1.497365035856866)	(9.0, 1.250526159070014)	('>10', 13.503707900791062)	('>50', 3.479398316474932)	('>100', 5.246844055503238)	('>500', 1.4997973458123395)	('>1k', 2.79571223040001)	('>5k', 1.1225984902311767)	('>10k+', 18.907034601470503)
SRR14240765_2	(1.0, 30.46684777686704)	(2.0, 12.300527311927222)	(3.0, 6.907624794748016)	(4.0, 4.120093946141182)	(5.0, 2.7416607695437567)	(6.0, 2.021433648294447)	(7.0, 1.5333497130360487)	(8.0, 1.2350308783936261)	(9.0, 0.983194279379616)	('>10', 10.35007594254417)	('>50', 2.4400542409924295)	('>100', 3.8626666791314364)	('>500', 1.0561315920045584)	('>1k', 2.0520348763939067)	('>5k', 1.0401759298754456)	('>10k+', 16.889097620727007)
SRR14240766_1	(1.0, 23.693960225266878)	(2.0, 12.94555105521333)	(3.0, 7.7890139100986495)	(4.0, 4.620177289362963)	(5.0, 3.1472705458239423)	(6.0, 2.2220077728451235)	(7.0, 1.736031873357354)	(8.0, 1.478052246038457)	(9.0, 1.1930377646156816)	('>10', 11.578994157411628)	('>50', 2.591970254767022)	('>100', 4.055707046842819)	('>500', 1.262759344770973)	('>1k', 2.6794915410490567)	('>5k', 1.2084147193307007)	('>10k+', 17.79756025320539)
SRR14240766_2	(1.0, 29.416862109339075)	(2.0, 14.67421102554848)	(3.0, 8.330555079613152)	(4.0, 4.645485585456368)	(5.0, 2.8781516586137412)	(6.0, 1.943688564863722)	(7.0, 1.5266761016253068)	(8.0, 1.1243322794825)	(9.0, 0.9803762234128395)	('>10', 8.601905261994101)	('>50', 2.007209817872252)	('>100', 3.0369417386978728)	('>500', 0.8783865559147466)	('>1k', 2.0697910863921307)	('>5k', 1.298400985614203)	('>10k+', 16.58702592555932)
SRR14240767_1	(1.0, 31.292872076238034)	(2.0, 12.675251519067517)	(3.0, 7.037604230791601)	(4.0, 4.274519100651248)	(5.0, 3.1330508856834536)	(6.0, 2.2514655694152967)	(7.0, 1.7874796408208375)	(8.0, 1.4605688541329336)	(9.0, 1.1987077282986662)	('>10', 12.233667323799958)	('>50', 2.6867453616286165)	('>100', 3.7887856473581567)	('>500', 1.1082876054958688)	('>1k', 2.3695354415545693)	('>5k', 1.005037787442104)	('>10k+', 11.696421227621025)
SRR14240767_2	(1.0, 41.400209375029526)	(2.0, 13.433586278312209)	(3.0, 6.766030943495471)	(4.0, 3.8891436951059366)	(5.0, 2.538651803809228)	(6.0, 1.871171363488049)	(7.0, 1.3593260927409774)	(8.0, 1.1122197558799376)	(9.0, 0.908320400398774)	('>10', 8.229681983144049)	('>50', 1.7184193499102995)	('>100', 2.5616949115745595)	('>500', 0.7439330125758233)	('>1k', 1.9897166884641646)	('>5k', 1.1256696321674913)	('>10k+', 10.352224713903562)
SRR14240768_1	(1.0, 29.87975450682352)	(2.0, 10.976510519841606)	(3.0, 5.489282309231458)	(4.0, 3.421172493137602)	(5.0, 2.35228157853245)	(6.0, 1.7204062783809384)	(7.0, 1.3085196114110245)	(8.0, 1.0679628864478212)	(9.0, 0.955669676776215)	('>10', 9.049312626212549)	('>50', 2.1156516828816345)	('>100', 3.5772155867634567)	('>500', 1.2336329728082094)	('>1k', 3.3747379089785303)	('>5k', 1.4317527811947628)	('>10k+', 22.046136580578263)
SRR14240768_2	(1.0, 40.59035692504307)	(2.0, 11.251276430376068)	(3.0, 4.853016618158828)	(4.0, 2.689102578944015)	(5.0, 1.6641813930873062)	(6.0, 1.1973833542460595)	(7.0, 0.9238936199818928)	(8.0, 0.7402364600088777)	(9.0, 0.5873659456548483)	('>10', 5.8790729745076895)	('>50', 1.6715320480463578)	('>100', 2.842733855403522)	('>500', 1.1537424135218866)	('>1k', 2.8779498513996336)	('>5k', 1.7179117295496367)	('>10k+', 19.360243802070507)
SRR14240769_1	(1.0, 25.466801651637056)	(2.0, 11.934591022722211)	(3.0, 6.633427419655648)	(4.0, 4.292725912033887)	(5.0, 2.871956142623967)	(6.0, 2.229067081386772)	(7.0, 1.7166228826082812)	(8.0, 1.4215357395344481)	(9.0, 1.201930661611782)	('>10', 12.011161315515274)	('>50', 2.6615038973848404)	('>100', 4.0564857296293795)	('>500', 1.1591478811259817)	('>1k', 2.413946718567105)	('>5k', 1.0678417401716989)	('>10k+', 18.861254203791553)
SRR14240769_2	(1.0, 34.97598869062765)	(2.0, 13.108283958880355)	(3.0, 6.888564714717996)	(4.0, 3.9694798887255045)	(5.0, 2.622483056154554)	(6.0, 1.7915348836645326)	(7.0, 1.3952232838265586)	(8.0, 1.1027484766596691)	(9.0, 0.8547874868143001)	('>10', 8.292805539344393)	('>50', 1.9176287360736315)	('>100', 3.074804935819297)	('>500', 0.8598797105215957)	('>1k', 1.7755879656715254)	('>5k', 0.9717047804438979)	('>10k+', 16.398493892054475)
SRR14240770_1	(1.0, 16.962359957278547)	(2.0, 11.251673662914435)	(3.0, 9.10578835794044)	(4.0, 6.341294012356126)	(5.0, 4.354404815237635)	(6.0, 3.2257102625609733)	(7.0, 2.3866748213597218)	(8.0, 1.9055265360849498)	(9.0, 1.598065642879558)	('>10', 15.019279155885782)	('>50', 3.3697980114828443)	('>100', 4.773495519149224)	('>500', 1.2245503270169944)	('>1k', 2.8691336389391244)	('>5k', 1.1938823794008018)	('>10k+', 14.418362899513081)
SRR14240770_2	(1.0, 25.34122245577302)	(2.0, 13.638279971623277)	(3.0, 10.573889941681797)	(4.0, 6.9942645842730915)	(5.0, 4.401617867976694)	(6.0, 3.0291213578695175)	(7.0, 2.12919727560143)	(8.0, 1.6259749917828688)	(9.0, 1.2989487050371065)	('>10', 9.938659995791358)	('>50', 1.978701170913031)	('>100', 2.960057828774702)	('>500', 1.0346900830729147)	('>1k', 2.6335492120572948)	('>5k', 1.4617990762592177)	('>10k+', 10.960025481512846)
SRR14240771_1	(1.0, 20.41444637588146)	(2.0, 14.183403118639943)	(3.0, 10.141865333954602)	(4.0, 6.455086499217273)	(5.0, 4.07789414954083)	(6.0, 2.8392743367439817)	(7.0, 2.079720217346843)	(8.0, 1.5958011352385022)	(9.0, 1.2829940592301998)	('>10', 10.762341786288962)	('>50', 2.079419966900952)	('>100', 3.1697572473098763)	('>500', 1.18195963673593)	('>1k', 3.4329841963290897)	('>5k', 1.697661627414852)	('>10k+', 14.60539031322669)
SRR14240771_2	(1.0, 26.02381965451725)	(2.0, 15.815596146799859)	(3.0, 11.024905893960327)	(4.0, 6.588618162804806)	(5.0, 4.066755645127961)	(6.0, 2.599638698971617)	(7.0, 1.7581405291673518)	(8.0, 1.3239908691012223)	(9.0, 0.9596442648979124)	('>10', 7.90154909737332)	('>50', 1.5208969926802276)	('>100', 2.686266878541747)	('>500', 1.3699967742830594)	('>1k', 3.446878940187691)	('>5k', 1.9526059963249285)	('>10k+', 10.960695455260796)
SRR14240772_1	(1.0, 21.385861152748834)	(2.0, 11.667948157911663)	(3.0, 6.834583714118884)	(4.0, 4.091209659262757)	(5.0, 2.688650804054919)	(6.0, 1.9626470197491377)	(7.0, 1.5155416375803543)	(8.0, 1.2322236897924266)	(9.0, 1.0396022776910014)	('>10', 10.196310158647208)	('>50', 2.5253947777231267)	('>100', 4.122748711254647)	('>500', 1.4635057703337653)	('>1k', 3.096627603994989)	('>5k', 1.4962734012683194)	('>10k+', 24.680871463867927)
SRR14240772_2	(1.0, 31.333244576621983)	(2.0, 11.787288965866145)	(3.0, 6.546831639224653)	(4.0, 3.685668514312114)	(5.0, 2.277099489669615)	(6.0, 1.6938050473937896)	(7.0, 1.1792404428446612)	(8.0, 0.9958215229832846)	(9.0, 0.8001208383087228)	('>10', 7.7317408006600665)	('>50', 2.039283270999274)	('>100', 3.426834084289692)	('>500', 1.1422279655169907)	('>1k', 2.658583990358342)	('>5k', 1.5805820805488198)	('>10k+', 21.12162677040181)
SRR14240773_1	(1.0, 29.588884173208523)	(2.0, 13.913412061335281)	(3.0, 7.583578232153706)	(4.0, 4.612440484669744)	(5.0, 3.1938944655957444)	(6.0, 2.3407781846302615)	(7.0, 1.8596148408039532)	(8.0, 1.4390325429440254)	(9.0, 1.2434117775823597)	('>10', 12.0996366002215)	('>50', 2.4716439342937946)	('>100', 3.4129110684164763)	('>500', 1.0572111843750691)	('>1k', 2.296019063092327)	('>5k', 1.1972544524285473)	('>10k+', 11.690276934248718)
SRR14240773_2	(1.0, 40.88041387183392)	(2.0, 13.997389131861857)	(3.0, 7.244302402276675)	(4.0, 3.9712078736413505)	(5.0, 2.630802139045145)	(6.0, 1.8821234941005411)	(7.0, 1.4684348427972675)	(8.0, 1.1305718925899084)	(9.0, 0.9494914259569687)	('>10', 8.15878965323223)	('>50', 1.6720140197729425)	('>100', 2.421086107712246)	('>500', 0.7918007785374546)	('>1k', 2.119537219162972)	('>5k', 1.2380802522972068)	('>10k+', 9.443954895181315)
SRR14240774_1	(1.0, 33.534752205448)	(2.0, 11.397773617412197)	(3.0, 4.9803890718712935)	(4.0, 2.8746094659934585)	(5.0, 1.8666475803688451)	(6.0, 1.3813380333906693)	(7.0, 1.0659383023310405)	(8.0, 0.882443237423232)	(9.0, 0.6944369492130016)	('>10', 6.7342812025229275)	('>50', 1.7053802770773476)	('>100', 3.288947617380905)	('>500', 1.236541456626637)	('>1k', 3.6930788119731996)	('>5k', 2.262909942579186)	('>10k+', 22.400532228388144)
SRR14240774_2	(1.0, 40.40981596970084)	(2.0, 11.600712816912205)	(3.0, 4.66370439035472)	(4.0, 2.363240452496384)	(5.0, 1.5080330153983341)	(6.0, 1.0176553630580656)	(7.0, 0.8230789264606119)	(8.0, 0.6649815590613593)	(9.0, 0.5561684276114358)	('>10', 5.4346762358439005)	('>50', 1.3441617796641006)	('>100', 2.647473338389266)	('>500', 1.122149018245584)	('>1k', 3.9136014844713434)	('>5k', 2.6498725997539014)	('>10k+', 19.280674622577955)
SRR14240775_1	(1.0, 20.758542057884487)	(2.0, 12.001583897403352)	(3.0, 7.280043689618173)	(4.0, 4.56179888651291)	(5.0, 3.0685351273247776)	(6.0, 2.2995943084535506)	(7.0, 1.7684003911229134)	(8.0, 1.439718347912477)	(9.0, 1.2100045563714772)	('>10', 12.140620296551436)	('>50', 2.9438652576669977)	('>100', 4.330885911698966)	('>500', 1.298986264112172)	('>1k', 2.7380230956763327)	('>5k', 1.5107797799094267)	('>10k+', 20.648618131780324)
SRR14240775_2	(1.0, 28.758420070984492)	(2.0, 12.470840734240902)	(3.0, 7.272698349317458)	(4.0, 4.431863397829352)	(5.0, 2.8176241107831967)	(6.0, 2.0155155700893643)	(7.0, 1.4708640033704132)	(8.0, 1.2407812942561298)	(9.0, 0.9781499920292687)	('>10', 9.627225319349423)	('>50', 2.3237595161863687)	('>100', 3.5069969305397617)	('>500', 0.9442466471636012)	('>1k', 2.3927702001261744)	('>5k', 1.631483236340336)	('>10k+', 18.116760627393738)
SRR14240776_1	(1.0, 33.139098344015)	(2.0, 13.273684296379903)	(3.0, 6.918570116885466)	(4.0, 4.4574161459848485)	(5.0, 3.1233003413366895)	(6.0, 2.3327457536989114)	(7.0, 1.8238667804046724)	(8.0, 1.4742547618038435)	(9.0, 1.259258042161135)	('>10', 11.596758096687184)	('>50', 2.269685498735797)	('>100', 3.1304442135569266)	('>500', 0.7977029933439039)	('>1k', 1.9532601170497945)	('>5k', 1.0952638602346978)	('>10k+', 11.354690637721312)
SRR14240776_2	(1.0, 40.91341204017032)	(2.0, 13.948225676484613)	(3.0, 7.014457959770038)	(4.0, 4.132879023607122)	(5.0, 2.677201889707525)	(6.0, 1.9497288688487744)	(7.0, 1.4695053452691338)	(8.0, 1.1958890897116776)	(9.0, 0.9464368533593152)	('>10', 8.204322094084167)	('>50', 1.6747623563008331)	('>100', 2.0392869553741764)	('>500', 0.6322737778926456)	('>1k', 1.7677324295855446)	('>5k', 0.8893524766758506)	('>10k+', 10.544533163158103)
SRR14240777_1	(1.0, 28.798038391839594)	(2.0, 13.912869237827236)	(3.0, 7.880756416602985)	(4.0, 4.86627693159831)	(5.0, 3.343547975660652)	(6.0, 2.4580445945659197)	(7.0, 1.9175352352267103)	(8.0, 1.6890362636122007)	(9.0, 1.3158434239140315)	('>10', 12.983920541394555)	('>50', 2.6574281856746933)	('>100', 3.473375960654416)	('>500', 0.9052943243846265)	('>1k', 2.1610587124272027)	('>5k', 1.1406654350915746)	('>10k+', 10.496308369525366)
SRR14240777_2	(1.0, 35.27650024457862)	(2.0, 15.303014970874523)	(3.0, 8.192976983791073)	(4.0, 4.895256090039086)	(5.0, 3.1403525371280083)	(6.0, 2.2080171025463473)	(7.0, 1.7879205065617563)	(8.0, 1.364608533034858)	(9.0, 1.0982563100311906)	('>10', 9.793852909877335)	('>50', 1.8276104198494105)	('>100', 2.350517998525966)	('>500', 0.7145895431101148)	('>1k', 1.9340048725666767)	('>5k', 1.2399440661476584)	('>10k+', 8.872576911337246)
SRR14240778_1	(1.0, 27.637598307113965)	(2.0, 13.20952581379163)	(3.0, 7.1730093049737045)	(4.0, 4.279425185645615)	(5.0, 2.960181309935588)	(6.0, 2.1674086729452235)	(7.0, 1.6237906885838274)	(8.0, 1.342389378652103)	(9.0, 1.1318629405705805)	('>10', 10.173003098458928)	('>50', 2.0779413919414633)	('>100', 3.0556566969074557)	('>500', 1.0261524058760942)	('>1k', 2.725468290156746)	('>5k', 1.55832800615877)	('>10k+', 17.858258508288397)
SRR14240778_2	(1.0, 36.08924244498709)	(2.0, 14.072869083747566)	(3.0, 7.301000776087904)	(4.0, 3.964240466016956)	(5.0, 2.5214231358770984)	(6.0, 1.6974879305605726)	(7.0, 1.2701458318964765)	(8.0, 0.9200312650589413)	(9.0, 0.8062917859565382)	('>10', 7.016255638648314)	('>50', 1.5051132376899496)	('>100', 2.335393234315013)	('>500', 0.8389431522321762)	('>1k', 2.528704092503428)	('>5k', 1.5331621895035965)	('>10k+', 15.599695734918015)
SRR14240779_1	(1.0, 23.301657329603394)	(2.0, 11.361355735034886)	(3.0, 6.396990491926798)	(4.0, 4.045739323442102)	(5.0, 2.9430305937029515)	(6.0, 2.164772956973985)	(7.0, 1.7646386418407969)	(8.0, 1.4095419893294925)	(9.0, 1.1681820251281676)	('>10', 12.871333763844477)	('>50', 3.1498619025791146)	('>100', 4.794654321811492)	('>500', 1.2576024880504353)	('>1k', 2.45868690384783)	('>5k', 1.1933354210714338)	('>10k+', 19.71861611181279)
SRR14240779_2	(1.0, 30.403486540014896)	(2.0, 12.329099408300193)	(3.0, 6.837433388742081)	(4.0, 4.116341104148423)	(5.0, 2.6378252464195096)	(6.0, 1.9704474282423903)	(7.0, 1.561739494418406)	(8.0, 1.2584757980625723)	(9.0, 1.028963992388709)	('>10', 10.263523566085391)	('>50', 2.476905662811204)	('>100', 3.2055117778020623)	('>500', 0.7931156245352211)	('>1k', 2.003607117299142)	('>5k', 1.2488616539194541)	('>10k+', 17.864662196810162)
SRR14240780_1	(1.0, 21.392498812020026)	(2.0, 12.576676396676792)	(3.0, 8.163287693205639)	(4.0, 5.211088896721061)	(5.0, 3.532809479012062)	(6.0, 2.605863993383075)	(7.0, 1.9965062508431337)	(8.0, 1.7358019131541793)	(9.0, 1.3814536797462338)	('>10', 14.140350212233328)	('>50', 3.4004418938420247)	('>100', 4.64204628899901)	('>500', 1.3368832219695759)	('>1k', 2.635367513722105)	('>5k', 1.3362050999193873)	('>10k+', 13.91271865455222)
SRR14240780_2	(1.0, 32.44571580134353)	(2.0, 13.32079555429967)	(3.0, 8.277501082640129)	(4.0, 5.027620256141168)	(5.0, 3.1858889382680777)	(6.0, 2.2799927282420405)	(7.0, 1.7969545641141098)	(8.0, 1.3427859835681133)	(9.0, 1.1490741232910058)	('>10', 10.501903027922625)	('>50', 2.2753815312726977)	('>100', 3.1057549624202507)	('>500', 0.9634525271057733)	('>1k', 1.9573603613919615)	('>5k', 1.2305282924766694)	('>10k+', 11.139290265502183)
SRR14240781_1	(1.0, 22.921189108413405)	(2.0, 12.26137769416939)	(3.0, 7.170167332268193)	(4.0, 4.280518273332323)	(5.0, 3.0143765888559693)	(6.0, 2.1164757399671177)	(7.0, 1.7292015530650684)	(8.0, 1.4078195039858117)	(9.0, 1.1364205665054672)	('>10', 11.817453326533638)	('>50', 2.9825752243051045)	('>100', 4.535549935762229)	('>500', 1.3842614243475784)	('>1k', 3.1563342971919996)	('>5k', 1.6846064388533741)	('>10k+', 18.401672992443387)
SRR14240781_2	(1.0, 30.831375686234875)	(2.0, 13.714136201155425)	(3.0, 7.579261449818493)	(4.0, 4.300830391752899)	(5.0, 2.7357201091593626)	(6.0, 1.8896888275437753)	(7.0, 1.4777192162855144)	(8.0, 1.227687902129742)	(9.0, 0.9910830049773469)	('>10', 9.609089331463508)	('>50', 2.274219391550999)	('>100', 3.3054393073373474)	('>500', 1.0567380766607493)	('>1k', 2.8980848074497683)	('>5k', 1.7621930154929453)	('>10k+', 14.34673328098725)
SRR14240782_1	(1.0, 19.903069433940974)	(2.0, 11.345694569907561)	(3.0, 6.846176555330094)	(4.0, 4.35805055891488)	(5.0, 3.0015083800850477)	(6.0, 2.2681462922936704)	(7.0, 1.7386804310750352)	(8.0, 1.4143834337482282)	(9.0, 1.1934151338471632)	('>10', 13.295611393605803)	('>50', 3.519373978222428)	('>100', 5.589024060677003)	('>500', 1.748256003996785)	('>1k', 3.4165847108457417)	('>5k', 1.708186056879631)	('>10k+', 18.653839006629912)
SRR14240782_2	(1.0, 26.302652241780862)	(2.0, 12.97087071999503)	(3.0, 7.823333492121153)	(4.0, 4.535246698887973)	(5.0, 3.0248581616477925)	(6.0, 2.146957678180825)	(7.0, 1.560797637004667)	(8.0, 1.2472559294247467)	(9.0, 1.033199597325328)	('>10', 10.644939663192812)	('>50', 2.640998451668549)	('>100', 4.014162614290473)	('>500', 1.2589610575011425)	('>1k', 2.886923054029637)	('>5k', 1.6427181527837305)	('>10k+', 16.266124850165415)
SRR14240783_1	(1.0, 27.927385207680082)	(2.0, 12.376047322969619)	(3.0, 6.985422899015665)	(4.0, 4.553791348500378)	(5.0, 3.245636240726851)	(6.0, 2.590938252297843)	(7.0, 1.9446105659800137)	(8.0, 1.61701810709509)	(9.0, 1.3865336210898336)	('>10', 13.854646730602324)	('>50', 3.0892741831404678)	('>100', 4.111307998269533)	('>500', 1.1495426139796194)	('>1k', 2.4693233932803387)	('>5k', 1.1651890276917285)	('>10k+', 11.533332487680635)
SRR14240783_2	(1.0, 34.18711076504242)	(2.0, 14.572169970972634)	(3.0, 7.892486544993312)	(4.0, 4.620674114392641)	(5.0, 3.0696647914655726)	(6.0, 2.2102360140255866)	(7.0, 1.6577686337660262)	(8.0, 1.367002973598302)	(9.0, 1.118302815917711)	('>10', 10.094619143583712)	('>50', 1.9640511486577596)	('>100', 2.6108988750003927)	('>500', 0.8064224002494041)	('>1k', 2.2558618024772112)	('>5k', 1.2140855672653939)	('>10k+', 10.358644438592023)
SRR14240784_1	(1.0, 19.026492293672938)	(2.0, 12.355888335689217)	(3.0, 9.130290771156204)	(4.0, 5.947876446968894)	(5.0, 4.008558119665629)	(6.0, 2.770614067602134)	(7.0, 2.071394720813947)	(8.0, 1.6012033840810604)	(9.0, 1.3746569682696643)	('>10', 14.2280032992681)	('>50', 3.514208309724619)	('>100', 5.4659273373304265)	('>500', 1.7023328738864534)	('>1k', 3.347351535507986)	('>5k', 1.332415508935897)	('>10k+', 12.122786027427093)
