Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR14240736_1	(1.0, 14.176695245017513)	(2.0, 11.997323517184624)	(3.0, 7.718615616828495)	(4.0, 4.739503495070378)	(5.0, 3.172596514287964)	(6.0, 2.2090931545272983)	(7.0, 1.7073530416215548)	(8.0, 1.368461189463526)	(9.0, 1.080211467498295)	('>10', 11.196611312039757)	('>50', 2.6527468530542944)	('>100', 4.403985508689427)	('>500', 1.6532146477516325)	('>1k', 3.7398144017312602)	('>5k', 1.8058590698815487)	('>10k+', 26.377914965352517)
SRR14240736_2	(1.0, 18.498824264363485)	(2.0, 13.75068308091229)	(3.0, 8.511689321468612)	(4.0, 5.034894716106484)	(5.0, 3.1663696525683203)	(6.0, 2.16876306573175)	(7.0, 1.6505288767713349)	(8.0, 1.2839792831560484)	(9.0, 0.9978684284945953)	('>10', 9.193891436984774)	('>50', 2.2551041272485635)	('>100', 3.9653293391021833)	('>500', 1.398782208319811)	('>1k', 3.317728715901806)	('>5k', 1.9397016836560428)	('>10k+', 22.86586179921369)
SRR14240737_1	(1.0, 14.248512934855404)	(2.0, 11.653586313199437)	(3.0, 7.370701555423204)	(4.0, 4.578759054078563)	(5.0, 3.1069493109186164)	(6.0, 2.240550915842708)	(7.0, 1.8678602350923077)	(8.0, 1.5287855573159397)	(9.0, 1.2212601292538283)	('>10', 13.124314849657603)	('>50', 3.2530377934650754)	('>100', 5.091670422039334)	('>500', 1.4994124136099587)	('>1k', 3.1765134456575583)	('>5k', 1.5435493218664256)	('>10k+', 24.494535747723855)
SRR14240737_2	(1.0, 18.856745853382016)	(2.0, 13.245906744847538)	(3.0, 8.15898482894371)	(4.0, 4.896623738442499)	(5.0, 3.132436081074267)	(6.0, 2.288951669091327)	(7.0, 1.7790739566222156)	(8.0, 1.380433428609302)	(9.0, 1.1880084314078658)	('>10', 11.228945948095733)	('>50', 2.7440650290333624)	('>100', 3.933598010993506)	('>500', 1.209007057938442)	('>1k', 2.6894638851976964)	('>5k', 1.6458801189145662)	('>10k+', 21.621875217405943)
SRR14240738_1	(1.0, 17.38258919827865)	(2.0, 14.0485931014304)	(3.0, 8.792863095590318)	(4.0, 5.630899596779169)	(5.0, 3.8848493338915255)	(6.0, 2.799950336420604)	(7.0, 2.160750372366198)	(8.0, 1.7886456145170944)	(9.0, 1.4283046233396937)	('>10', 14.019742784402794)	('>50', 3.189141495491063)	('>100', 4.475577430296965)	('>500', 1.2910766441313695)	('>1k', 2.339487362575017)	('>5k', 1.0529807229814212)	('>10k+', 15.714548287507613)
SRR14240738_2	(1.0, 23.894914186223698)	(2.0, 16.647695912814246)	(3.0, 10.007662638248249)	(4.0, 5.848753486766406)	(5.0, 3.6202233331486755)	(6.0, 2.6305328424070287)	(7.0, 1.9606243436804485)	(8.0, 1.4924319136208477)	(9.0, 1.214416220955657)	('>10', 10.46553674806732)	('>50', 2.170547224780282)	('>100', 3.284648951130715)	('>500', 0.9481711999379931)	('>1k', 1.850813941293633)	('>5k', 1.2069922997993865)	('>10k+', 12.756034757125237)
SRR14240739_1	(1.0, 10.54362687141122)	(2.0, 11.967823993864863)	(3.0, 9.396715320877187)	(4.0, 6.378386432336813)	(5.0, 4.066716221473289)	(6.0, 2.8132811994244626)	(7.0, 2.053390763918182)	(8.0, 1.5743920955882773)	(9.0, 1.3198052502769084)	('>10', 11.533745126463714)	('>50', 2.524102122324977)	('>100', 3.9911013769033166)	('>500', 1.412002997495446)	('>1k', 3.5050704315647803)	('>5k', 1.9135615576783032)	('>10k+', 25.006278238398455)
SRR14240739_2	(1.0, 14.101210236679318)	(2.0, 13.752568734373371)	(3.0, 10.541502698306594)	(4.0, 6.774003778476559)	(5.0, 4.166861501159586)	(6.0, 2.732940208193108)	(7.0, 1.9180361053531576)	(8.0, 1.4373127378394108)	(9.0, 1.1309318199594494)	('>10', 8.800424816845272)	('>50', 1.9431034203318525)	('>100', 3.364486316231913)	('>500', 1.2330093945764238)	('>1k', 3.243921335981766)	('>5k', 1.9990290646399482)	('>10k+', 22.860657831052357)
SRR14240740_1	(1.0, 13.47058085301046)	(2.0, 14.267644332170695)	(3.0, 10.556543675910406)	(4.0, 6.836690538241121)	(5.0, 4.455514346955718)	(6.0, 3.1878474195050055)	(7.0, 2.3330659171779997)	(8.0, 1.8148919750992876)	(9.0, 1.503576787536683)	('>10', 12.667851900210803)	('>50', 2.619396015503435)	('>100', 3.843888382331052)	('>500', 1.2982014082503177)	('>1k', 3.403704195634759)	('>5k', 1.8819849285952317)	('>10k+', 15.85861732386691)
SRR14240740_2	(1.0, 17.25572435506106)	(2.0, 16.027936790232282)	(3.0, 11.621668501026267)	(4.0, 7.2374566753822895)	(5.0, 4.4666261885931196)	(6.0, 2.9495362128829914)	(7.0, 2.1059288036579935)	(8.0, 1.559270164872882)	(9.0, 1.1732436266591222)	('>10', 9.806617192871482)	('>50', 1.896756205727386)	('>100', 3.2252166243478353)	('>500', 1.302797374995164)	('>1k', 3.0736977703830433)	('>5k', 2.1693250856485995)	('>10k+', 14.128198427658198)
