Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR14240735_1	(1, 1.0296449389035836)	(2, 1.0023088326437593)	(3, 0.9966818906903435)	(4, 1.0291598455264976)	(5, 0.9966818906903435)	(6, 1.026322013965351)	(7, 0.9966818906903435)	(8, 0.9966910700410015)	(9, 0.9966854212098274)	(12, 0.9969150461970593)	(17, 0.9967301881968831)	(22, 0.9968037642229273)	(27, 0.9977764929511271)	(32, 0.9998795527972879)	(37, 0.20256924888632596)	(42, 0.0002262589584852188)	(47, 3.7096133820387688e-06)	(52, 1.1274256082091175e-05)	(57, 6.282285791066668e-06)	(62, 4.715976944463318e-06)	(67, 9.693042519206803e-05)	(72, 2.2698344712150014e-05)	(77, 1.9084355412854955e-05)	(82, 1.4612531378127925e-06)	(87, 3.7746116493776676e-05)	(92, 3.045439900210923e-06)	(97, 1.9230652403949613e-05)	(102, 8.744674303963285e-05)	(107, 3.805797021507481e-06)	(112, 4.191919526517951e-06)	(117, 6.1930930229512006e-06)	(122, 3.5126005701967317e-06)	(127, 4.427333665616532e-07)	(132, 5.745162960348483e-05)	(137, 0.00012242437659821238)	(142, 0.000244622674976611)	(147, 8.004954682947228e-05)	(150, 6.889213252732294e-06)
SRR14240735_2	(1, 0.0017920916900199938)	(2, 0.004576259355011655)	(3, 0.001687588313297)	(4, 0.001687588313297)	(5, 0.001689000521090554)	(6, 0.0016939432483679927)	(7, 0.001687588313297)	(8, 0.001687588313297)	(9, 0.001687588313297)	(12, 0.001718939326313898)	(17, 0.0016923898197950835)	(22, 0.001787855066639332)	(27, 0.0026827711454144856)	(32, 0.004529091614706953)	(37, 0.0014444991052685262)	(42, 5.480114033376584e-05)	(47, 0.00020411600445636232)	(52, 3.956131933710748e-05)	(57, 0.00020920641170665252)	(62, 6.493973830680465e-05)	(67, 5.2018813365000666e-05)	(72, 2.7446375708434153e-05)	(77, 1.6885505029864972e-05)	(82, 6.579016564150502e-05)	(87, 4.600830599560459e-05)	(92, 1.685947254808965e-05)	(97, 0.0008911855360849057)	(102, 5.8494702778211107e-05)	(107, 1.448973084051572e-05)	(112, 3.8556291962998145e-05)	(117, 2.2615873740449773e-05)	(122, 8.644539312943515e-05)	(127, 0.00017221932716340716)	(132, 0.00011755305258932268)	(137, 3.017758128808301e-05)	(142, 5.5612874627291455e-06)	(147, 4.856901233244934e-06)	(150, 2.899225529884202e-06)
SRR14240736_1	(1, 2.7167910315087687)	(2, 2.689965382734902)	(3, 2.684463116999255)	(4, 2.716396660398129)	(5, 2.684463116999255)	(6, 2.713709678564303)	(7, 2.684463116999255)	(8, 2.6844673236244354)	(9, 2.6844662719681405)	(12, 2.6846919574090555)	(17, 2.684513596501417)	(22, 2.6846244410749143)	(27, 2.6861478703839086)	(32, 2.6897018376673647)	(37, 0.5510709625712991)	(42, 0.0002280676299254701)	(47, 4.108120037200454e-06)	(52, 1.0598276126365807e-05)	(57, 8.44052034890315e-06)	(62, 5.633271971040631e-06)	(67, 9.772106867326386e-05)	(72, 2.1364567389071142e-05)	(77, 1.712591498329571e-05)	(82, 2.221590219299769e-06)	(87, 4.164771252485353e-05)	(92, 2.791179009993321e-06)	(97, 1.88528014713113e-05)	(102, 8.38337168895242e-05)	(107, 3.4913524932616964e-06)	(112, 3.7027574540146223e-06)	(117, 5.469667726680169e-06)	(122, 2.6058003219446754e-06)	(127, 1.0511119255827052e-06)	(132, 4.790050556569741e-05)	(137, 0.00011785216557702587)	(142, 0.00024364178781692377)	(147, 8.81817960865367e-05)	(150, 3.157836167291297e-06)
SRR14240736_2	(1, 0.014323558738437735)	(2, 0.01712517110842291)	(3, 0.014202618264508197)	(4, 0.014202618264508197)	(5, 0.014204721577098275)	(6, 0.014220496421523865)	(7, 0.014202618264508197)	(8, 0.014202618264508197)	(9, 0.014202618264508197)	(12, 0.014236481597208469)	(17, 0.014208507539760417)	(22, 0.014338281926568289)	(27, 0.015759490243684643)	(32, 0.019053698422266317)	(37, 0.0046212732170041034)	(42, 4.9444543990455204e-05)	(47, 0.00018771130871935126)	(52, 3.915454607520051e-05)	(57, 0.0001958878295820368)	(62, 6.241371159407838e-05)	(67, 4.6490136293442024e-05)	(72, 2.502915562554782e-05)	(77, 1.6871763742103894e-05)	(82, 5.78847619403094e-05)	(87, 4.881482873119442e-05)	(92, 1.9635903715486065e-05)	(97, 0.0008683994120235923)	(102, 5.4260574032433605e-05)	(107, 1.2166173245939448e-05)	(112, 4.18738620025366e-05)	(117, 2.2400844813242646e-05)	(122, 8.881534591793164e-05)	(127, 0.0001579370046345334)	(132, 0.00010968614914540654)	(137, 2.861901474279544e-05)	(142, 7.785252384934215e-06)	(147, 7.52707894322911e-06)	(150, 4.452713297954053e-06)
SRR14240737_1	(1, 2.3493552932969353)	(2, 2.322293487128015)	(3, 2.316783946340906)	(4, 2.3485418644431793)	(5, 2.316783946340906)	(6, 2.3459171166927306)	(7, 2.316783946340906)	(8, 2.3167920446370163)	(9, 2.316785745962264)	(12, 2.3170121383290834)	(17, 2.316836135360284)	(22, 2.3169136990408083)	(27, 2.318202767819448)	(32, 2.321108976350267)	(37, 0.47416017533390176)	(42, 0.00022737871449848054)	(47, 5.160121823694383e-06)	(52, 9.401657830457106e-06)	(57, 9.591254735248574e-06)	(62, 4.615886255700158e-06)	(67, 8.696120943903463e-05)	(72, 2.22832901979901e-05)	(77, 1.9256239166379087e-05)	(82, 2.07979162545016e-06)	(87, 4.5254199511241936e-05)	(92, 3.3635907447120495e-06)	(97, 1.7671512607073878e-05)	(102, 7.940073092342852e-05)	(107, 3.873275608585468e-06)	(112, 3.8656634873686435e-06)	(117, 4.122501545377677e-06)	(122, 2.7594900089380434e-06)	(127, 5.931034013593379e-07)	(132, 6.320144849803817e-05)	(137, 0.00010521711065960669)	(142, 0.00022190245883795808)	(147, 7.960844766860902e-05)	(150, 5.386174723629989e-06)
SRR14240737_2	(1, 0.014102732770922267)	(2, 0.01678056935142789)	(3, 0.013986657193339865)	(4, 0.013986657193339865)	(5, 0.013989356625376665)	(6, 0.013992955868092398)	(7, 0.013986657193339865)	(8, 0.013986657193339865)	(9, 0.013986657193339865)	(12, 0.014026608787484504)	(17, 0.013990436398191383)	(22, 0.014101293073835971)	(27, 0.015342311962220839)	(32, 0.01798199656993969)	(37, 0.004283520378409913)	(42, 6.210568235940748e-05)	(47, 0.00020921031185816308)	(52, 4.178234169497824e-05)	(57, 0.00020145442744792138)	(62, 7.82803638068725e-05)	(67, 5.7293418463015204e-05)	(72, 3.2465006142179655e-05)	(77, 1.789062139962654e-05)	(82, 7.474396786004952e-05)	(87, 5.184555359110791e-05)	(92, 1.3882764565145827e-05)	(97, 0.0009046234790112935)	(102, 6.307917329625809e-05)	(107, 1.2585505371498109e-05)	(112, 4.717298655272133e-05)	(117, 1.6138489052236218e-05)	(122, 8.903388622555236e-05)	(127, 0.0001605458008081416)	(132, 0.00011186856056978209)	(137, 3.6175333236333464e-05)	(142, 5.60769742549805e-06)	(147, 5.6904625548633615e-06)	(150, 2.555435052595964e-06)
SRR14240738_1	(1, 2.4014586437963983)	(2, 2.3744579299886834)	(3, 2.3688950929936947)	(4, 2.4008860377361687)	(5, 2.3688950929936947)	(6, 2.3982682839908662)	(7, 2.3688950929936947)	(8, 2.3689021513118482)	(9, 2.368896857573233)	(12, 2.3691357816427403)	(17, 2.368949442043479)	(22, 2.368988439251279)	(27, 2.369974662755323)	(32, 2.372364079908349)	(37, 0.4847331138311229)	(42, 0.0002404180900231041)	(47, 5.423743463182344e-06)	(52, 1.392497154441107e-05)	(57, 8.866197133976445e-06)	(62, 5.071779546465497e-06)	(67, 9.911344008090446e-05)	(72, 2.459885324409977e-05)	(77, 1.944942044818782e-05)	(82, 2.412899448056119e-06)	(87, 4.026143872981081e-05)	(92, 3.68598729676082e-06)	(97, 1.950815783093998e-05)	(102, 9.0155346445753e-05)	(107, 4.43820151239439e-06)	(112, 4.923699780838385e-06)	(117, 9.478878925007326e-06)	(122, 4.80199184060486e-06)	(127, 2.8611265344110734e-07)	(132, 6.269367004325144e-05)	(137, 0.00010958107833682618)	(142, 0.00023617766487214734)	(147, 0.00010646499618680434)	(150, 1.4191495106649924e-05)
SRR14240738_2	(1, 0.0020989673609957764)	(2, 0.004921412332759328)	(3, 0.001971917634226801)	(4, 0.001971917634226801)	(5, 0.001976329083072946)	(6, 0.001975446793303717)	(7, 0.001971917634226801)	(8, 0.001971917634226801)	(9, 0.001971917634226801)	(12, 0.002007032767042115)	(17, 0.001978093662611404)	(22, 0.0020506178816420274)	(27, 0.0029946679347170506)	(32, 0.00516492430906653)	(37, 0.001630239553837705)	(42, 5.276930003969593e-05)	(47, 0.00020351660741056178)	(52, 4.449311371162806e-05)	(57, 0.00020332828762970078)	(62, 6.507525300489137e-05)	(67, 5.156648426679718e-05)	(72, 3.041278050467779e-05)	(77, 1.826318905561995e-05)	(82, 6.463415624611687e-05)	(87, 5.1038837496689845e-05)	(92, 1.624772039287396e-05)	(97, 0.00092021414582092)	(102, 6.093252236371812e-05)	(107, 1.5045768055002806e-05)	(112, 4.100211646355785e-05)	(117, 2.3304671686440093e-05)	(122, 9.191704522001909e-05)	(127, 0.00016438794657137906)	(132, 0.00010794910973550076)	(137, 3.189997538791801e-05)	(142, 6.697461796932818e-06)	(147, 5.415692723530858e-06)	(150, 1.2166989941561582e-06)
SRR14240739_1	(1, 1.5797929113948097)	(2, 1.552563655867962)	(3, 1.5468870389122729)	(4, 1.579010314163291)	(5, 1.5468870389122729)	(6, 1.5766736705774456)	(7, 1.5468870389122729)	(8, 1.5468970722101127)	(9, 1.5468881537231438)	(12, 1.54712137215738)	(17, 1.5469403268719117)	(22, 1.5470217080655027)	(27, 1.548582443285056)	(32, 1.5524755858091444)	(37, 0.3157125090038071)	(42, 0.00022923162133607204)	(47, 3.398354072000511e-06)	(52, 1.0198902186089129e-05)	(57, 9.071876397317024e-06)	(62, 2.270858928704724e-06)	(67, 8.993342583665425e-05)	(72, 2.1497326478131697e-05)	(77, 1.3601458030194199e-05)	(82, 1.6348706856174244e-06)	(87, 4.029233735825173e-05)	(92, 3.6822900324714646e-06)	(97, 1.9935397555148403e-05)	(102, 8.613019890897369e-05)	(107, 3.4187687928117994e-06)	(112, 6.0458477980367855e-06)	(117, 8.068510640430706e-06)	(122, 5.198190328356583e-06)	(127, 0.0)	(132, 5.6179925424680306e-05)	(137, 0.00010546093126324475)	(142, 0.00021823989403953108)	(147, 8.94387851911955e-05)	(150, 1.6927668748544219e-06)
SRR14240739_2	(1, 0.004587446734615281)	(2, 0.007400114562424359)	(3, 0.004497147054055418)	(4, 0.004497147054055418)	(5, 0.004499376675797637)	(6, 0.004503835919282074)	(7, 0.004497147054055418)	(8, 0.004497147054055418)	(9, 0.004497147054055418)	(12, 0.004534604699324694)	(17, 0.004502498146236743)	(22, 0.0046135333089992415)	(27, 0.006114960590209414)	(32, 0.009749244030026137)	(37, 0.0028025483950748814)	(42, 5.843073763315556e-05)	(47, 0.00020566110933544377)	(52, 3.9942383179206536e-05)	(57, 0.00020632038011859485)	(62, 6.818807420897832e-05)	(67, 5.6034084646110324e-05)	(72, 2.9939617307084274e-05)	(77, 2.0191556571202446e-05)	(82, 6.892869157292199e-05)	(87, 4.993057856298402e-05)	(92, 1.9052642192322615e-05)	(97, 0.000899867014552713)	(102, 6.171072575136369e-05)	(107, 1.671956113470467e-05)	(112, 4.396823105859008e-05)	(117, 2.1683532327613812e-05)	(122, 9.253160616372072e-05)	(127, 0.00017250795193088294)	(132, 0.00011810794632586316)	(137, 3.4495955652597896e-05)	(142, 5.3719284907681056e-06)	(147, 3.882077942196664e-06)	(150, 1.6388997711833695e-06)
