Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR14240735_1	(1, 36.10421277260323)	(2, 36.0574082097768)	(3, 36.18848918889266)	(4, 36.21163350936927)	(5, 36.241456555919775)	(6, 36.223921277662804)	(7, 36.191000164959995)	(8, 36.22948995192266)	(9, 36.24080761113345)	(12, 36.24620743053184)	(17, 36.238653939172174)	(22, 36.21200560211533)	(27, 36.17773147713306)	(32, 36.15123689419975)	(37, 36.40706660376138)	(42, 36.45415597003303)	(47, 36.42624627408426)	(52, 36.424915606095134)	(57, 36.41630140924768)	(62, 36.40020056393727)	(67, 36.36868418613379)	(72, 36.33438191435269)	(77, 36.34122548823781)	(82, 36.31559853334385)	(87, 36.292053878247785)	(92, 36.28024210668069)	(97, 36.24492678165797)	(102, 36.19260391499097)	(107, 36.18089151837927)	(112, 36.15473997922229)	(117, 36.11660606756682)	(122, 36.08517626660681)	(127, 36.065391548041596)	(132, 36.00277195145239)	(137, 35.981349607592634)	(142, 35.86784564396043)	(147, 35.86861023969084)	(150, 35.688260182619466)
SRR14240735_2	(1, 36.42266492394576)	(2, 36.335888222002005)	(3, 36.32259234917504)	(4, 36.340648640314335)	(5, 36.35425296050652)	(6, 36.33804877282744)	(7, 36.23506111166823)	(8, 36.2239682618161)	(9, 36.23862624436513)	(12, 36.1754526171875)	(17, 36.176613161079004)	(22, 36.12180544722157)	(27, 36.01490536040044)	(32, 35.959753457610724)	(37, 35.915923813010124)	(42, 35.932080490755936)	(47, 35.879103868791915)	(52, 35.844628792468555)	(57, 35.89465024243861)	(62, 35.952621346604715)	(67, 35.85751311542119)	(72, 35.76861376103018)	(77, 35.737138455884086)	(82, 35.827075970587956)	(87, 35.87305266995155)	(92, 35.89325668466122)	(97, 35.87583480859426)	(102, 35.81494902099717)	(107, 35.75912583159753)	(112, 35.68848552826482)	(117, 35.6824349078991)	(122, 35.533742785176166)	(127, 35.51156685308248)	(132, 35.50380221947462)	(137, 35.394856270960354)	(142, 35.27976228607055)	(147, 35.092678994934495)	(150, 34.740607321299464)
SRR14240736_1	(1, 35.52884958760508)	(2, 35.48043497051224)	(3, 35.61007264200176)	(4, 35.63483545643634)	(5, 35.66577872871812)	(6, 35.651933925991436)	(7, 35.618661161400205)	(8, 35.65107510139465)	(9, 35.65965023320847)	(12, 35.667579433519236)	(17, 35.66193341478131)	(22, 35.64073825178188)	(27, 35.604443790501186)	(32, 35.57919182548403)	(37, 36.301943753209756)	(42, 36.45885877644887)	(47, 36.43416968617608)	(52, 36.44066448970953)	(57, 36.417641302970466)	(62, 36.399926335243926)	(67, 36.378619683664496)	(72, 36.3327826389701)	(77, 36.344520189955404)	(82, 36.32839540421552)	(87, 36.29305906280682)	(92, 36.28158585782184)	(97, 36.24411859933201)	(102, 36.18721426847927)	(107, 36.163287087575526)	(112, 36.13656678212993)	(117, 36.09264353976477)	(122, 36.054071221519294)	(127, 36.02388152313699)	(132, 35.96516252760612)	(137, 35.94064153176379)	(142, 35.81696168324653)	(147, 35.813599265292474)	(150, 35.65104784027288)
SRR14240736_2	(1, 36.37715306776397)	(2, 36.300849955979245)	(3, 36.25412670718916)	(4, 36.245948817507674)	(5, 36.27594594617049)	(6, 36.27838760814037)	(7, 36.078403164240285)	(8, 35.963735378415016)	(9, 36.00869383225983)	(12, 35.89382121533797)	(17, 35.9324714750587)	(22, 35.869266820251255)	(27, 35.64029210763185)	(32, 35.57112042441567)	(37, 35.508747492801675)	(42, 35.5656072415875)	(47, 35.505178064814295)	(52, 35.462067377645)	(57, 35.58649789948331)	(62, 35.73966052634689)	(67, 35.577752865883305)	(72, 35.39552418677992)	(77, 35.36149866903826)	(82, 35.538720080239905)	(87, 35.753210908446036)	(92, 35.842648013786736)	(97, 35.84399242511099)	(102, 35.786042516153785)	(107, 35.73381104896812)	(112, 35.65935747929448)	(117, 35.649812131339026)	(122, 35.507570666357466)	(127, 35.47391386228809)	(132, 35.456232594065526)	(137, 35.34180143766995)	(142, 35.22366378711089)	(147, 35.02640350420624)	(150, 34.6577065930865)
SRR14240737_1	(1, 35.670011790849195)	(2, 35.611774109115665)	(3, 35.74166295937169)	(4, 35.763911984154625)	(5, 35.79285349483183)	(6, 35.77642661406397)	(7, 35.73686239741472)	(8, 35.77616833240669)	(9, 35.78282704840619)	(12, 35.79304194398195)	(17, 35.78517894836409)	(22, 35.76053058380463)	(27, 35.72436835337408)	(32, 35.70310220439309)	(37, 36.326058167304915)	(42, 36.453473071648226)	(47, 36.43174571267829)	(52, 36.4369061759106)	(57, 36.41136835961236)	(62, 36.39502708096473)	(67, 36.37278109955389)	(72, 36.32965481405366)	(77, 36.341406411037354)	(82, 36.32584342258816)	(87, 36.28837627299839)	(92, 36.27619172478108)	(97, 36.208604935453266)	(102, 36.17777340509535)	(107, 36.167292864959954)	(112, 36.14409489801912)	(117, 36.09967485724685)	(122, 36.067570444870896)	(127, 36.025919186280575)	(132, 35.980557895726754)	(137, 35.95904750641067)	(142, 35.838313506373176)	(147, 35.838707218534864)	(150, 35.65700012098447)
SRR14240737_2	(1, 36.32966138891411)	(2, 36.23800039247942)	(3, 36.216165199625834)	(4, 36.23059096443049)	(5, 36.26113126772014)	(6, 36.26489596762352)	(7, 36.10107511269521)	(8, 36.01825614188949)	(9, 36.073999413449414)	(12, 35.97211081251294)	(17, 36.00758479575139)	(22, 35.94375736230721)	(27, 35.71399888292103)	(32, 35.642500545442736)	(37, 35.58483978670515)	(42, 35.61989015648438)	(47, 35.56091408061327)	(52, 35.524394452508375)	(57, 35.64216728841605)	(62, 35.76920724666245)	(67, 35.613841577374195)	(72, 35.44955919958471)	(77, 35.41996407254696)	(82, 35.62074843974369)	(87, 35.77431085758201)	(92, 35.827319879666376)	(97, 35.822116009369154)	(102, 35.76034639490054)	(107, 35.71049899958513)	(112, 35.63429331894249)	(117, 35.631606912831494)	(122, 35.483310098382724)	(127, 35.45628257395138)	(132, 35.44829737569108)	(137, 35.329808020983464)	(142, 35.212655456477336)	(147, 35.00827527167614)	(150, 34.624821093929086)
SRR14240738_1	(1, 35.65077176356526)	(2, 35.59800812673577)	(3, 35.72687047372114)	(4, 35.74909213265036)	(5, 35.779194174402996)	(6, 35.76265034129439)	(7, 35.72965369208976)	(8, 35.76546410453482)	(9, 35.77360368644664)	(12, 35.78074087424752)	(17, 35.771181003440155)	(22, 35.745537418932564)	(27, 35.707334672484514)	(32, 35.68356351508761)	(37, 36.3157136079145)	(42, 36.453088316874414)	(47, 36.429307111211905)	(52, 36.43505125346937)	(57, 36.415665842288206)	(62, 36.40184006066297)	(67, 36.366355320122906)	(72, 36.33012548694876)	(77, 36.334845303723895)	(82, 36.30820778416247)	(87, 36.276892392356075)	(92, 36.26383188871493)	(97, 36.22750717376151)	(102, 36.171060010484595)	(107, 36.15431898605807)	(112, 36.124539801612315)	(117, 36.08120194836088)	(122, 36.0411837856404)	(127, 36.02220376552593)	(132, 35.95201036327201)	(137, 35.931989950249616)	(142, 35.82108053175195)	(147, 35.816349145611994)	(150, 35.61400565786876)
SRR14240738_2	(1, 36.40475155214181)	(2, 36.32073491773283)	(3, 36.287813624897396)	(4, 36.280307579977276)	(5, 36.30665879617137)	(6, 36.316328559698654)	(7, 36.13687122649077)	(8, 35.997721301390115)	(9, 36.0413738052826)	(12, 35.938668396048726)	(17, 35.97149127298955)	(22, 35.91954615049563)	(27, 35.72045740054424)	(32, 35.655377298514836)	(37, 35.72037533315342)	(42, 35.63510431350466)	(47, 35.58916323807674)	(52, 35.547363296403645)	(57, 35.62126282076311)	(62, 35.737756651197216)	(67, 35.59244916257668)	(72, 35.487868817510005)	(77, 35.4570876522133)	(82, 35.640487679088906)	(87, 35.80076708207589)	(92, 35.856766843537244)	(97, 35.85383332322207)	(102, 35.796998105923436)	(107, 35.75093245695208)	(112, 35.67789813928751)	(117, 35.669222087104366)	(122, 35.53052660582141)	(127, 35.50383739600365)	(132, 35.49634553288108)	(137, 35.38955593325481)	(142, 35.28027657524316)	(147, 35.08901644677895)	(150, 34.73132491511428)
SRR14240739_1	(1, 35.90480862967069)	(2, 35.85782975263885)	(3, 35.99834492948453)	(4, 36.02701482165579)	(5, 36.06003111615511)	(6, 36.0446423672233)	(7, 36.006627639813615)	(8, 36.044289997803155)	(9, 36.05287850075418)	(12, 36.063430649410556)	(17, 36.05789884638702)	(22, 36.03291160261041)	(27, 35.99481620079723)	(32, 35.97393209869813)	(37, 36.379802279711576)	(42, 36.45532804138294)	(47, 36.42839686535802)	(52, 36.43825592041803)	(57, 36.414422117679514)	(62, 36.39482062288888)	(67, 36.379342493224755)	(72, 36.33483936013644)	(77, 36.34735067551576)	(82, 36.32190341960285)	(87, 36.299836828944976)	(92, 36.286791688140994)	(97, 36.25810203666583)	(102, 36.198649835238015)	(107, 36.181483837089345)	(112, 36.149997643112556)	(117, 36.11113135548909)	(122, 36.07176944984825)	(127, 36.043492413888295)	(132, 35.98604849258218)	(137, 35.961190380289544)	(142, 35.84305718843445)	(147, 35.83180937559412)	(150, 35.640999983743576)
SRR14240739_2	(1, 36.38603781211054)	(2, 36.26136348459734)	(3, 36.287577749418475)	(4, 36.313673264585624)	(5, 36.332390916815335)	(6, 36.33418734534926)	(7, 36.21576796522736)	(8, 36.17944611156978)	(9, 36.20482339868511)	(12, 36.12927590782003)	(17, 36.155074281297594)	(22, 36.10682861568783)	(27, 35.93042819863264)	(32, 35.86565484202383)	(37, 35.80966879692002)	(42, 35.85263749765106)	(47, 35.778027031022305)	(52, 35.7529501777596)	(57, 35.85034752044261)	(62, 35.945220121994794)	(67, 35.8183672643307)	(72, 35.67088783825564)	(77, 35.63523387199236)	(82, 35.791666566830656)	(87, 35.863464144733015)	(92, 35.90349011581877)	(97, 35.891709567882714)	(102, 35.82732209572548)	(107, 35.779117013397055)	(112, 35.69582693366827)	(117, 35.69000380957535)	(122, 35.53768288427434)	(127, 35.525930000491044)	(132, 35.52517778558659)	(137, 35.40921727295711)	(142, 35.29919042059909)	(147, 35.10915774997549)	(150, 34.719971765252275)
