Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR14240735_2	(37, 14662.0)	(42, 13152.0)	(47, 24519.0)	(52, 51104.0)	(57, 91500.0)	(62, 194235.0)	(67, 362533.0)	(72, 675556.0)	(77, 1182256.0)	(82, 1910284.0)	(87, 2774624.0)	(92, 3909468.0)	(97, 5128804.0)	(102, 5617066.0)	(107, 5822651.0)	(112, 5980085.0)	(117, 6574395.0)	(122, 6327968.0)	(127, 6242413.0)	(132, 5629906.0)	(137, 5524958.0)	(142, 5071202.0)	(147, 12021312.0)	(151, 60477565.0)
SRR14240736_1	(37, 2566708.0)	(42, 13624.0)	(47, 23787.0)	(52, 45692.0)	(57, 76792.0)	(62, 157630.0)	(67, 289785.0)	(72, 504532.0)	(77, 868510.0)	(82, 1423581.0)	(87, 2032786.0)	(92, 2909338.0)	(97, 3820809.0)	(102, 4132130.0)	(107, 4328125.0)	(112, 4263487.0)	(117, 4501038.0)	(122, 4339411.0)	(127, 4203850.0)	(132, 3848901.0)	(137, 3757832.0)	(142, 3456927.0)	(147, 6747714.0)	(151, 36775112.0)
SRR14240736_2	(37, 27223.0)	(42, 13382.0)	(47, 23485.0)	(52, 45103.0)	(57, 75863.0)	(62, 155565.0)	(67, 286389.0)	(72, 497753.0)	(77, 857311.0)	(82, 1403275.0)	(87, 2005264.0)	(92, 2867584.0)	(97, 3766846.0)	(102, 4073678.0)	(107, 4260864.0)	(112, 4193509.0)	(117, 4429278.0)	(122, 4274283.0)	(127, 4135773.0)	(132, 3785859.0)	(137, 3695376.0)	(142, 3435128.0)	(147, 7670555.0)	(151, 39108755.0)
SRR14240737_1	(37, 2588280.0)	(42, 13324.0)	(47, 24679.0)	(52, 47568.0)	(57, 81672.0)	(62, 171179.0)	(67, 313397.0)	(72, 556305.0)	(77, 977162.0)	(82, 1621796.0)	(87, 2375675.0)	(92, 3380962.0)	(97, 4408838.0)	(102, 4757112.0)	(107, 5055128.0)	(112, 5019371.0)	(117, 5252104.0)	(122, 5051082.0)	(127, 4935042.0)	(132, 4544492.0)	(137, 4454440.0)	(142, 4132392.0)	(147, 8132708.0)	(151, 43239781.0)
SRR14240737_2	(37, 28801.0)	(42, 13091.0)	(47, 24387.0)	(52, 47114.0)	(57, 80871.0)	(62, 169306.0)	(67, 310102.0)	(72, 550121.0)	(77, 966476.0)	(82, 1602391.0)	(87, 2349703.0)	(92, 3341297.0)	(97, 4357511.0)	(102, 4702702.0)	(107, 4990887.0)	(112, 4952292.0)	(117, 5183187.0)	(122, 4985471.0)	(127, 4865589.0)	(132, 4478461.0)	(137, 4391861.0)	(142, 4102495.0)	(147, 9090008.0)	(151, 45550365.0)
SRR14240738_1	(37, 2696370.0)	(42, 12454.0)	(47, 23464.0)	(52, 47546.0)	(57, 85302.0)	(62, 181475.0)	(67, 328314.0)	(72, 593482.0)	(77, 1019453.0)	(82, 1655407.0)	(87, 2375063.0)	(92, 3254283.0)	(97, 4279130.0)	(102, 4691778.0)	(107, 4874920.0)	(112, 4914199.0)	(117, 5319463.0)	(122, 5066917.0)	(127, 4996037.0)	(132, 4541095.0)	(137, 4425408.0)	(142, 4028526.0)	(147, 8443528.0)	(151, 45487834.0)
SRR14240738_2	(37, 13540.0)	(42, 12357.0)	(47, 23229.0)	(52, 47225.0)	(57, 84525.0)	(62, 179620.0)	(67, 325118.0)	(72, 587227.0)	(77, 1008411.0)	(82, 1635775.0)	(87, 2347943.0)	(92, 3214377.0)	(97, 4227991.0)	(102, 4637292.0)	(107, 4813575.0)	(112, 4838654.0)	(117, 5237882.0)	(122, 4996676.0)	(127, 4922259.0)	(132, 4475261.0)	(137, 4358155.0)	(142, 4009625.0)	(147, 9356664.0)	(151, 47988067.0)
SRR14240739_1	(37, 1401600.0)	(42, 13278.0)	(47, 24836.0)	(52, 48257.0)	(57, 82851.0)	(62, 172411.0)	(67, 317417.0)	(72, 542483.0)	(77, 926226.0)	(82, 1495896.0)	(87, 2103143.0)	(92, 2903364.0)	(97, 3774670.0)	(102, 4017662.0)	(107, 4126120.0)	(112, 4045710.0)	(117, 4334999.0)	(122, 4124076.0)	(127, 3945495.0)	(132, 3595941.0)	(137, 3551885.0)	(142, 3300182.0)	(147, 6415907.0)	(151, 34436905.0)
SRR14240739_2	(37, 17802.0)	(42, 13121.0)	(47, 24604.0)	(52, 47902.0)	(57, 82013.0)	(62, 170401.0)	(67, 314052.0)	(72, 536513.0)	(77, 916143.0)	(82, 1479474.0)	(87, 2080787.0)	(92, 2872063.0)	(97, 3735384.0)	(102, 3978828.0)	(107, 4083738.0)	(112, 3990289.0)	(117, 4277632.0)	(122, 4082705.0)	(127, 3904395.0)	(132, 3555900.0)	(137, 3515792.0)	(142, 3283529.0)	(147, 7192498.0)	(151, 35545749.0)
SRR14240740_1	(37, 1334666.0)	(42, 15572.0)	(47, 27740.0)	(52, 58226.0)	(57, 108784.0)	(62, 227556.0)	(67, 423514.0)	(72, 749562.0)	(77, 1309894.0)	(82, 2109330.0)	(87, 2871689.0)	(92, 3799302.0)	(97, 4620001.0)	(102, 4750354.0)	(107, 4888793.0)	(112, 4739261.0)	(117, 4830581.0)	(122, 4579577.0)	(127, 4471879.0)	(132, 4104249.0)	(137, 3944362.0)	(142, 3535491.0)	(147, 6966697.0)	(151, 35609705.0)
SRR14240740_2	(37, 34077.0)	(42, 15132.0)	(47, 27388.0)	(52, 57510.0)	(57, 107468.0)	(62, 223662.0)	(67, 418428.0)	(72, 739648.0)	(77, 1292705.0)	(82, 2082003.0)	(87, 2836148.0)	(92, 3751097.0)	(97, 4564566.0)	(102, 4703265.0)	(107, 4833772.0)	(112, 4678035.0)	(117, 4768249.0)	(122, 4519536.0)	(127, 4411747.0)	(132, 4050245.0)	(137, 3899924.0)	(142, 3524522.0)	(147, 7574921.0)	(151, 36962737.0)
SRR14240741_1	(37, 1885420.0)	(42, 10798.0)	(47, 21421.0)	(52, 45598.0)	(57, 82464.0)	(62, 181745.0)	(67, 325278.0)	(72, 596536.0)	(77, 1003994.0)	(82, 1537438.0)	(87, 2197772.0)	(92, 2874596.0)	(97, 3668969.0)	(102, 4059390.0)	(107, 4272757.0)	(112, 4238950.0)	(117, 4581850.0)	(122, 4313734.0)	(127, 4239792.0)	(132, 3866986.0)	(137, 3773466.0)	(142, 3413369.0)	(147, 6992074.0)	(151, 36393387.0)
SRR14240741_2	(37, 26477.0)	(42, 10669.0)	(47, 21143.0)	(52, 45135.0)	(57, 81504.0)	(62, 179331.0)	(67, 321111.0)	(72, 588230.0)	(77, 990112.0)	(82, 1515006.0)	(87, 2166880.0)	(92, 2831729.0)	(97, 3613975.0)	(102, 4000496.0)	(107, 4208360.0)	(112, 4165714.0)	(117, 4501154.0)	(122, 4243298.0)	(127, 4166932.0)	(132, 3801949.0)	(137, 3708785.0)	(142, 3386837.0)	(147, 7671787.0)	(151, 38331170.0)
SRR14240742_1	(37, 250820.0)	(42, 1721.0)	(47, 3397.0)	(52, 7954.0)	(57, 15402.0)	(62, 34760.0)	(67, 67474.0)	(72, 130100.0)	(77, 230882.0)	(82, 381374.0)	(87, 548363.0)	(92, 761243.0)	(97, 982340.0)	(102, 1115235.0)	(107, 1247747.0)	(112, 1364837.0)	(117, 1514046.0)	(122, 1562074.0)	(127, 1598122.0)	(132, 1576335.0)	(137, 1596089.0)	(142, 1540148.0)	(147, 3756797.0)	(151, 21268960.0)
SRR14240742_2	(37, 2329.0)	(42, 1703.0)	(47, 3358.0)	(52, 7874.0)	(57, 15169.0)	(62, 34325.0)	(67, 66659.0)	(72, 128414.0)	(77, 227992.0)	(82, 376383.0)	(87, 541207.0)	(92, 750931.0)	(97, 969414.0)	(102, 1100591.0)	(107, 1230999.0)	(112, 1344354.0)	(117, 1491827.0)	(122, 1540232.0)	(127, 1575273.0)	(132, 1553038.0)	(137, 1572796.0)	(142, 1530740.0)	(147, 4073692.0)	(151, 21416920.0)
SRR14240743_1	(37, 463226.0)	(42, 8088.0)	(47, 15032.0)	(52, 29682.0)	(57, 53013.0)	(62, 110547.0)	(67, 204041.0)	(72, 377794.0)	(77, 637972.0)	(82, 985668.0)	(87, 1376870.0)	(92, 2010975.0)	(97, 2685519.0)	(102, 2847524.0)	(107, 2794179.0)	(112, 2894615.0)	(117, 3338255.0)	(122, 3227842.0)	(127, 3184147.0)	(132, 2687925.0)	(137, 2642155.0)	(142, 2392874.0)	(147, 4715845.0)	(151, 27029255.0)
